OID_,ss,year,sample,occupied,region_x,wetland_x,data_set,site,station,latit,longit,mineable,lapr,mclelland,region_y,wetland_y,UID,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area
9596,Y:467@53:C,2013,2,NA,unmineable,NA,Y,0,C,56.028835999999998,-113.321979999999996,0,1,NA,unmineable,NA,Y:467@53:C-2013,250.000000000000000,13673,1570.796326789999966,196349.540849000011804
9597,Y:280@21:CT,2015,2,NA,unmineable,Northwest of Janvier,Y,0,CT,56.010440000000003,-110.797899999999998,0,1,NA,unmineable,Northwest of Janvier,Y:280@21:CT-2015,250.000000000000000,6648,1570.796326789999966,196349.540849000011804
9598,Y:291@23:SW,2014,4,0,east,NA,Y,0,SW,57.339187000000003,-111.327160000000006,1,1,east,east,McClelland Lake Fen - East,Y:291@23:SW-2014,250.000000000000000,7533,1570.796326789999966,196349.540849000011804
9599,Y:276@20:SW,2013,3,0,unmineable,NA,Y,0,SW,55.719603999999997,-111.003069999999994,0,1,NA,unmineable,NA,Y:276@20:SW-2013,250.000000000000000,6484,1570.796326789999966,196349.540849000011804
9600,Y:319@27:SW,2013,3,NA,unmineable,NA,Y,0,SW,56.327468000000003,-110.950680000000006,0,1,NA,unmineable,NA,Y:319@27:SW-2013,250.000000000000000,10078,1570.796326789999966,196349.540849000011804
9601,Y:290@23:NE,2015,3,NA,east,NA,Y,0,NE,57.344771999999999,-111.338260000000005,1,1,east,east,McClelland Lake Fen - East,Y:290@23:NE-2015,250.000000000000000,7310,1570.796326789999966,196349.540849000011804
9602,Y:421@58:E,2014,3,NA,unmineable,NA,Y,0,E,54.740250000000003,-112.392600000000002,0,1,NA,unmineable,NA,Y:421@58:E-2014,250.000000000000000,13184,1570.796326789999966,196349.540849000011804
9603,Y:397@37:E,2019,2,NA,unmineable,NA,Y,0,E,55.041055999999998,-112.123440000000002,0,1,NA,unmineable,NA,Y:397@37:E-2019,250.000000000000000,12596,1570.796326789999966,196349.540849000011804
9604,AM:425:SE,2017,2,0,unmineable,NA,AM,425,SE,55.926074000000000,-111.142380000000003,0,1,NA,unmineable,NA,AM:425:SE-2017,250.000000000000000,1047,1570.796326789999966,196349.540849000011804
9605,Y:223@6:NE,2014,3,NA,unmineable,NA,Y,0,NE,54.532905999999997,-111.230170000000001,0,1,NA,unmineable,NA,Y:223@6:NE-2014,250.000000000000000,3349,1570.796326789999966,196349.540849000011804
9606,AM:401:SW,2017,3,0,unmineable,NA,AM,401,SW,54.656922000000002,-110.712969999999999,0,1,NA,unmineable,NA,AM:401:SW-2017,250.000000000000000,138,1570.796326789999966,196349.540849000011804
9607,Y:318@27:SW,2015,4,NA,unmineable,NA,Y,0,SW,56.288907999999999,-110.993099999999998,0,1,NA,unmineable,NA,Y:318@27:SW-2015,250.000000000000000,9928,1570.796326789999966,196349.540849000011804
9608,Y:397@37:A,2017,4,0,unmineable,NA,Y,0,A,55.042442999999999,-112.106470000000002,0,1,NA,unmineable,NA,Y:397@37:A-2017,250.000000000000000,12487,1570.796326789999966,196349.540849000011804
9609,Y:342@25:CT,2015,4,1,east,NA,Y,0,CT,57.405389000000000,-111.206729999999993,1,1,east,east,McClelland Lake Fen - East,Y:342@25:CT-2015,250.000000000000000,11262,1570.796326789999966,196349.540849000011804
