"WTStation","Station","VegDate","Plot","Distance","Depth","year","SDD"
"AM:401:SE","AM-401-SE",2014-05-28,"W",50,11,2014,"AM-401-SE-W-50"
"AM:401:SE","AM-401-SE",2015-06-08,"N",10,14,2015,"AM-401-SE-N-10"
"AM:401:SE","AM-401-SE",2015-06-08,"E",10,11,2015,"AM-401-SE-E-10"
"AM:401:SE","AM-401-SE",2015-06-08,"E",20,9,2015,"AM-401-SE-E-20"
"AM:401:SE","AM-401-SE",2015-06-08,"E",30,12,2015,"AM-401-SE-E-30"
"AM:401:SE","AM-401-SE",2015-06-08,"E",40,12,2015,"AM-401-SE-E-40"
"AM:401:SE","AM-401-SE",2015-06-08,"E",50,10,2015,"AM-401-SE-E-50"
"AM:401:SE","AM-401-SE",2015-06-08,"S",10,11.5,2015,"AM-401-SE-S-10"
"AM:401:SE","AM-401-SE",2015-06-08,"S",20,9,2015,"AM-401-SE-S-20"
"AM:401:SE","AM-401-SE",2015-06-08,"S",30,10,2015,"AM-401-SE-S-30"
"AM:401:SE","AM-401-SE",2015-06-08,"S",40,7,2015,"AM-401-SE-S-40"
"AM:401:SE","AM-401-SE",2015-06-08,"S",50,8,2015,"AM-401-SE-S-50"
"AM:401:SE","AM-401-SE",2015-06-08,"W",10,8,2015,"AM-401-SE-W-10"
"AM:401:SE","AM-401-SE",2015-06-08,"W",20,8,2015,"AM-401-SE-W-20"
"AM:401:SE","AM-401-SE",2015-06-08,"W",30,11,2015,"AM-401-SE-W-30"
"AM:401:SE","AM-401-SE",2015-06-08,"W",40,12,2015,"AM-401-SE-W-40"
"AM:401:SE","AM-401-SE",2015-06-08,"W",50,9,2015,"AM-401-SE-W-50"
"AM:401:SE","AM-401-SE",2017-06-23,"C",0,20,2017,"AM-401-SE-C-0"
"AM:401:SE","AM-401-SE",2017-06-23,"N",10,20,2017,"AM-401-SE-N-10"
"AM:401:SE","AM-401-SE",2017-06-23,"N",20,21,2017,"AM-401-SE-N-20"
"AM:401:SE","AM-401-SE",2017-06-23,"N",30,17,2017,"AM-401-SE-N-30"
"AM:401:SE","AM-401-SE",2017-06-23,"N",40,19,2017,"AM-401-SE-N-40"
"AM:401:SE","AM-401-SE",2017-06-23,"N",50,20,2017,"AM-401-SE-N-50"
"AM:401:SE","AM-401-SE",2017-06-23,"E",10,25,2017,"AM-401-SE-E-10"
"AM:401:SE","AM-401-SE",2017-06-23,"E",20,30,2017,"AM-401-SE-E-20"
"AM:401:SE","AM-401-SE",2017-06-23,"E",30,26,2017,"AM-401-SE-E-30"
"AM:401:SE","AM-401-SE",2017-06-23,"E",40,15,2017,"AM-401-SE-E-40"
"AM:401:SE","AM-401-SE",2017-06-23,"E",50,19,2017,"AM-401-SE-E-50"
"AM:401:SE","AM-401-SE",2017-06-23,"S",10,18,2017,"AM-401-SE-S-10"
"AM:401:SE","AM-401-SE",2017-06-23,"S",20,15,2017,"AM-401-SE-S-20"
"AM:401:SE","AM-401-SE",2017-06-23,"S",30,12,2017,"AM-401-SE-S-30"
"AM:401:SE","AM-401-SE",2017-06-23,"S",40,17,2017,"AM-401-SE-S-40"
"AM:401:SE","AM-401-SE",2017-06-23,"S",50,16,2017,"AM-401-SE-S-50"
"AM:401:SE","AM-401-SE",2017-06-23,"W",10,25,2017,"AM-401-SE-W-10"
"AM:401:SE","AM-401-SE",2017-06-23,"W",20,21,2017,"AM-401-SE-W-20"
