richardSS(mess),embSS,year,sample,occupied,region,wetland
Y:218:5:NE,Y-218-5-NE,2019,1,1,unmineable,Southern Cold Lake
Y:5:218:NE,Y-218-5-NE,2021,1,1,unmineable,
Y:218:5:NW,Y-218-5-NW,2013,1,0,unmineable,Southern Cold Lake
Y:218:5:NW,Y-218-5-NW,2014,1,0,unmineable,Southern Cold Lake
Y:218:5:NW,Y-218-5-NW,2015,1,0,unmineable,Southern Cold Lake
Y:218:5:NW,Y-218-5-NW,2016,1,0,unmineable,Southern Cold Lake
Y:218:5:NW,Y-218-5-NW,2019,1,1,unmineable,Southern Cold Lake
Y:5:218:NW,Y-218-5-NW,2021,1,0,unmineable,
Y:218:5:SE,Y-218-5-SE,2013,1,0,unmineable,Southern Cold Lake
Y:218:5:SE,Y-218-5-SE,2014,1,0,unmineable,Southern Cold Lake
Y:218:5:SE,Y-218-5-SE,2015,1,0,unmineable,Southern Cold Lake
Y:218:5:SE,Y-218-5-SE,2016,1,0,unmineable,Southern Cold Lake
Y:218:5:SE,Y-218-5-SE,2019,1,1,unmineable,Southern Cold Lake
Y:5:218:SE,Y-218-5-SE,2021,1,0,unmineable,
Y:218:5:SW,Y-218-5-SW,2013,1,1,unmineable,Southern Cold Lake
Y:218:5:SW,Y-218-5-SW,2014,1,0,unmineable,Southern Cold Lake
Y:218:5:SW,Y-218-5-SW,2015,1,0,unmineable,Southern Cold Lake
Y:218:5:SW,Y-218-5-SW,2016,1,1,unmineable,Southern Cold Lake
Y:218:5:SW,Y-218-5-SW,2019,1,1,unmineable,Southern Cold Lake
Y:5:218:SW,Y-218-5-SW,2021,1,0,unmineable,
Y:223:6:CT,Y-223-6-CT,2013,1,0,unmineable,NA
Y:223:6:CT,Y-223-6-CT,2015,1,0,unmineable,NA
Y:223:6:CT,Y-223-6-CT,2017,1,0,unmineable,NA
Y:223:6:NE,Y-223-6-NE,2013,1,0,unmineable,NA
Y:223:6:NE,Y-223-6-NE,2015,1,0,unmineable,NA
Y:223:6:NE,Y-223-6-NE,2017,1,0,unmineable,NA
Y:223:6:NW,Y-223-6-NW,2013,1,0,unmineable,NA
Y:223:6:NW,Y-223-6-NW,2015,1,0,unmineable,NA
Y:223:6:NW,Y-223-6-NW,2017,1,0,unmineable,NA
Y:223:6:SE,Y-223-6-SE,2015,1,0,unmineable,NA
Y:223:6:SE,Y-223-6-SE,2017,1,0,unmineable,NA
Y:223:6:SW,Y-223-6-SW,2013,1,0,unmineable,NA
Y:223:6:SW,Y-223-6-SW,2015,1,0,unmineable,NA
Y:223:6:SW,Y-223-6-SW,2017,1,0,unmineable,NA
Y:224:7:CT,Y-224-7-CT,2013,1,0,west,NA
Y:224:7:CT,Y-224-7-CT,2015,1,0,west,NA
Y:224:7:CT,Y-224-7-CT,2016,1,0,west,NA
Y:224:7:CT,Y-224-7-CT,2018,1,0,west,NA
Y:224:7:CT,Y-224-7-CT,2019,1,0,west,NA
Y:224:7:NE,Y-224-7-NE,2013,1,0,west,NA
Y:224:7:NE,Y-224-7-NE,2015,1,0,west,NA
Y:224:7:NE,Y-224-7-NE,2016,1,0,west,NA
Y:224:7:NE,Y-224-7-NE,2018,1,0,west,NA
Y:224:7:NE,Y-224-7-NE,2019,1,0,west,NA
Y:224:7:NW,Y-224-7-NW,2013,1,0,west,NA
Y:224:7:NW,Y-224-7-NW,2015,1,0,west,NA
Y:224:7:NW,Y-224-7-NW,2018,1,0,west,NA
Y:224:7:NW,Y-224-7-NW,2019,1,0,west,NA
Y:224:7:SE,Y-224-7-SE,2015,1,0,west,NA
Y:224:7:SE,Y-224-7-SE,2018,1,0,west,NA
Y:224:7:SE,Y-224-7-SE,2019,1,0,west,NA
Y:224:7:SW,Y-224-7-SW,2013,1,0,west,NA
Y:224:7:SW,Y-224-7-SW,2015,1,0,west,NA
Y:224:7:SW,Y-224-7-SW,2018,1,0,west,NA
Y:224:7:SW,Y-224-7-SW,2019,1,0,west,NA
Y:229:8:CT,Y-229-8-CT,2013,1,0,mineable,NA
Y:229:8:CT,Y-229-8-CT,2017,1,0,mineable,NA
Y:229:8:NE,Y-229-8-NE,2013,1,0,mineable,NA
Y:229:8:NE,Y-229-8-NE,2017,1,0,mineable,NA
Y:229:8:NW,Y-229-8-NW,2013,1,0,mineable,NA
Y:229:8:NW,Y-229-8-NW,2017,1,0,mineable,NA
Y:229:8:SE,Y-229-8-SE,2013,1,0,mineable,NA
Y:229:8:SE,Y-229-8-SE,2017,1,0,mineable,NA
Y:229:8:SW,Y-229-8-SW,2013,1,0,mineable,NA
Y:229:8:SW,Y-229-8-SW,2017,1,0,mineable,NA
Y:234:24:A,Y-234-24-A,2015,1,0,west,NA
Y:234:24:A,Y-234-24-A,2016,1,0,west,NA
Y:234:24:A,Y-234-24-A,2017,1,0,west,NA
Y:234:24:B,Y-234-24-B,2015,1,0,west,NA
Y:234:24:B,Y-234-24-B,2016,1,0,west,NA
Y:234:24:B,Y-234-24-B,2017,1,0,west,NA
Y:234:24:B,Y-234-24-B,2018,1,0,west,NA
