ss,year,stdsdoy
Y:318@27:NW,2013,NA
Y:318@27:SE,2013,NA
Y:318@27:SW,2013,NA
Y:319@27:CT,2013,NA
Y:319@27:NE,2013,NA
Y:319@27:NW,2013,NA
Y:319@27:SE,2013,NA
Y:319@27:SW,2013,NA
Y:322@25:SW,2013,NA
Y:323@25:CT,2013,NA
Y:323@25:NE,2013,NA
Y:323@25:NW,2013,NA
Y:323@25:SE,2013,NA
Y:323@25:SW,2013,NA
Y:324@25:CT,2013,NA
Y:324@25:NE,2013,NA
Y:324@25:NW,2013,NA
Y:324@25:SE,2013,NA
Y:324@25:SW,2013,NA
Y:328@30:CT,2013,0.80453909999999995
Y:328@30:NE,2013,0.26812859999999999
Y:328@30:NW,2013,0.67043649999999999
Y:328@30:SE,2013,0.80453909999999995
Y:328@30:SW,2013,0.26812859999999999
Y:329@30:CT,2013,0.066974699999999998
Y:329@30:NE,2013,0.066974699999999998
Y:329@30:NW,2013,-0.80469230000000003
Y:329@30:SE,2013,0.066974699999999998
Y:329@30:SW,2013,0.066974699999999998
Y:330@31:CT,2013,-0.46943580000000001
Y:330@31:NE,2013,-0.46943580000000001
Y:330@31:NW,2013,-0.46943580000000001
Y:330@31:SE,2013,-0.67058969999999996
Y:330@31:SW,2013,-0.67058969999999996
Y:331@31:CT,2013,-0.1341792
Y:331@31:NE,2013,-0.1341792
Y:331@31:NW,2013,-0.1341792
Y:331@31:SE,2013,-0.1341792
Y:331@31:SW,2013,-0.1341792
Y:333@31:CT,2013,0.87159039999999999
Y:333@31:NE,2013,0.73748780000000003
Y:333@31:NW,2013,0.73748780000000003
Y:333@31:SE,2013,0.73748780000000003
Y:333@31:SW,2013,0.80453909999999995
Y:341@25:CT,2013,NA
Y:341@25:NE,2013,NA
Y:341@25:NW,2013,NA
Y:341@25:SE,2013,NA
Y:341@25:SW,2013,NA
Y:342@25:A,2013,NA
Y:342@25:CT,2013,NA
Y:342@25:NE,2013,NA
Y:342@25:NW,2013,NA
Y:342@25:SE,2013,NA
Y:343@25:A,2013,NA
Y:343@25:CT,2013,NA
Y:343@25:NE,2013,NA
Y:343@25:NW,2013,NA
Y:343@25:SW,2013,NA
Y:344@25:CT,2013,NA
Y:344@25:NE,2013,NA
Y:344@25:NW,2013,NA
Y:344@25:SE,2013,NA
Y:344@25:SW,2013,NA
Y:346@25:NW,2013,NA
Y:346@25:SW,2013,NA
Y:350@24:CT,2013,NA
Y:350@24:NE,2013,NA
Y:350@24:NW,2013,NA
Y:350@24:SE,2013,NA
Y:350@24:SW,2013,NA
Y:352@23:CT,2013,NA
Y:352@23:NE,2013,NA
Y:352@23:NW,2013,NA
Y:352@23:SE,2013,NA
Y:352@23:SW,2013,NA
Y:353@24:I,2013,NA
Y:353@24:J,2013,NA
Y:372@16:A,2013,NA
Y:372@16:B,2013,NA
Y:372@16:C,2013,NA
Y:372@16:D,2013,NA
Y:372@16:E,2013,NA
Y:381@19:CT,2013,NA
Y:381@19:NE,2013,NA
Y:381@19:NW,2013,NA
Y:381@19:SE,2013,NA
Y:381@19:SW,2013,NA
Y:391@14:CT,2013,NA
Y:391@14:NE,2013,NA
Y:391@14:NW,2013,NA
Y:391@14:SE,2013,NA
Y:391@14:SW,2013,NA
Y:397@37:A,2013,NA
Y:397@37:B,2013,NA
Y:397@37:C,2013,NA
Y:397@37:D,2013,NA
Y:397@37:E,2013,NA
Y:399@13:A,2013,NA
Y:399@13:B,2013,NA
Y:399@13:C,2013,NA
Y:399@13:D,2013,NA
Y:412@39:A,2013,NA
Y:412@39:B,2013,NA
Y:412@39:C,2013,NA
Y:412@39:D,2013,NA
Y:412@39:E,2013,NA
Y:414@39:A,2013,NA
Y:414@39:B,2013,NA
Y:414@39:C,2013,NA
Y:414@39:E,2013,NA
Y:416@39:C,2013,NA
Y:416@39:D,2013,NA
Y:416@39:E,2013,NA
Y:421@58:A,2013,NA
Y:421@58:B,2013,NA
Y:421@58:C,2013,NA
Y:421@58:D,2013,NA
Y:421@58:E,2013,NA
Y:458@50:CT,2013,NA
Y:458@50:NE,2013,NA
Y:458@50:NW,2013,NA
Y:458@50:SE,2013,NA
Y:458@50:SW,2013,NA
Y:463@50:A,2013,NA
Y:463@50:B,2013,NA
Y:463@50:C,2013,NA
Y:463@50:D,2013,NA
Y:463@50:E,2013,NA
Y:464@21:A,2013,NA
Y:464@21:B,2013,NA
Y:464@21:C,2013,NA
Y:464@21:D,2013,NA
Y:464@21:E,2013,NA
Y:467@53:A,2013,NA
Y:467@53:B,2013,NA
Y:467@53:C,2013,NA
Y:467@53:D,2013,NA
Y:467@53:E,2013,NA
Y:473@55:CT,2013,NA
Y:473@55:NE,2013,NA
Y:473@55:NW,2013,NA
Y:473@55:SE,2013,NA
AM:401:CT,2013,NA
AM:401:NE,2013,NA
AM:401:NW,2013,NA
AM:401:SE,2013,NA
AM:401:SW,2013,NA
AM:403:CT,2013,NA
AM:403:NE,2013,NA
AM:403:NW,2013,NA
AM:403:SE,2013,NA
AM:403:SW,2013,NA
AM:412:CT,2013,NA
AM:412:NW,2013,NA
AM:412:SW,2013,NA
AM:414:CT,2013,NA
AM:414:NE,2013,NA
AM:414:NW,2013,NA
AM:414:SE,2013,NA
AM:414:SW,2013,NA
AM:420:CT,2013,NA
AM:420:NE,2013,NA
AM:420:NW,2013,NA
AM:420:SE,2013,NA
AM:420:SW,2013,NA
AM:422:CT,2013,NA
AM:423:CT,2013,NA
AM:423:NE,2013,NA
AM:423:NW,2013,NA
AM:423:SE,2013,NA
AM:423:SW,2013,NA
AM:424:CT,2013,NA
AM:424:NE,2013,NA
AM:424:NW,2013,NA
AM:424:SE,2013,NA
AM:424:SW,2013,NA
AM:425:CT,2013,NA
AM:425:NE,2013,NA
AM:425:NW,2013,NA
AM:425:SE,2013,NA
AM:425:SW,2013,NA
AM:426:CT,2013,NA
AM:426:NE,2013,NA
AM:426:NW,2013,NA
AM:426:SE,2013,NA
AM:426:SW,2013,NA
AM:427:CT,2013,NA
AM:427:NE,2013,NA
AM:427:NW,2013,NA
AM:427:SE,2013,NA
AM:427:SW,2013,NA
AM:429:CT,2013,NA
AM:429:NE,2013,NA
AM:429:NW,2013,NA
AM:429:SE,2013,NA
AM:429:SW,2013,NA
AM:433:CT,2013,NA
AM:433:NE,2013,NA
AM:433:NW,2013,NA
AM:433:SE,2013,NA
AM:433:SW,2013,NA
AM:441:CT,2013,NA
AM:441:NE,2013,NA
AM:441:NW,2013,NA
AM:441:SE,2013,NA
AM:441:SW,2013,NA
AM:442:CT,2013,NA
AM:442:NE,2013,NA
AM:442:NW,2013,NA
AM:442:SE,2013,NA
AM:442:SW,2013,NA
RS:26:N,2013,NA
RS:26:P,2013,NA
RS:26:Q,2013,NA
RS:26:R,2013,NA
RS:26:T,2013,NA
RS:26:U,2013,NA
RS:26:V,2013,NA
RS:26:W,2013,NA
RS:27:B,2013,NA
RS:27:E,2013,NA
RS:27:F,2013,NA
RS:27:G,2013,NA
RS:27:H,2013,NA
RS:27:I,2013,NA
RS:27:J,2013,NA
Y:200@1:CT,2013,-0.3353332
Y:200@1:NE,2013,-0.3353332
Y:200@1:NW,2013,-0.46943580000000001
Y:200@1:SE,2013,-0.46943580000000001
Y:200@1:SW,2013,-0.53648709999999999
Y:201@1:CT,2013,0.60338519999999995
Y:201@1:NE,2013,0.60338519999999995
Y:201@1:NW,2013,0.60338519999999995
Y:201@1:SW,2013,0.60338519999999995
Y:207@1:A,2013,NA
Y:207@1:B,2013,NA
Y:207@1:C,2013,NA
Y:207@1:D,2013,NA
Y:207@1:E,2013,NA
Y:214@4:CT,2013,-0.3353332
Y:214@4:NE,2013,-0.46943580000000001
Y:214@4:NW,2013,-0.73764099999999999
Y:214@4:SE,2013,-0.46943580000000001
Y:214@4:SW,2013,-0.46943580000000001
Y:216@5:CT,2013,-0.46943580000000001
Y:216@5:NE,2013,-0.46943580000000001
Y:216@5:NW,2013,-0.46943580000000001
Y:216@5:SE,2013,-0.46943580000000001
