"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence"
"AM:401:SW-2016","AM:401:SW",2016,2,NA,"unmineable",NA,"AM",401,"SW",54.656922,-110.71297,0,1,NA,249.039399065204,523.122228213598,366.609967751577,2561.88680182821,1489.82755907453,717.723794819214,0.56946496026021,0.752244971010309,0.273236041303826,2724.4827207917,-517.756423313171,NA
"AM:401:SW-2017","AM:401:SW",2017,4,0,"unmineable",NA,"AM",401,"SW",54.656922,-110.71297,0,1,NA,290.533767922833,584.172876518134,406.864817009849,2359.85820777975,1223.76186004458,621.018362505546,0.604712851510627,0.740522417596829,0.327811048719986,2503.02913978263,-297.083908368817,"absent"
"AM:401:SW-2018","AM:401:SW",2018,4,NA,"unmineable",NA,"AM",401,"SW",54.656922,-110.71297,0,1,NA,225.715987118817,481.955569735498,330.026235070553,2524.88454104474,1342.22197245172,635.355837449177,0.597663265597959,0.768386536822443,0.306149557910774,2573.3138405924,-408.234904054481,NA
"AM:401:SW-2019","AM:401:SW",2019,4,NA,"unmineable",NA,"AM",401,"SW",54.656922,-110.71297,0,1,NA,241.269208260267,494.903449041407,368.733821181803,2064.41638983999,1292.23503347511,670.103574336852,0.546322876482576,0.721251346972239,0.275574173248742,2441.15404375405,-430.733715970696,NA
"AM:403:CT-2013","AM:403:CT",2013,3,NA,"unmineable",NA,"AM",403,"CT",54.610992,-110.68858,0,1,NA,307.09361814346,520.01582278481,356.003691983122,3128.25210970464,1794.13844936709,808.167194092827,0.586096771564413,0.796628753249907,0.270679949000792,3202.90481843355,-633.884912842827,NA
"AM:403:CT-2014","AM:403:CT",2014,1,0,"unmineable",NA,"AM",403,"CT",54.610992,-110.68858,0,1,NA,289.93776371308,521.887394514768,370.327004219409,2929.84493670886,1727.66851265823,787.036128691983,0.583217430718337,0.781855706487024,0.267338846067462,3113.17340005274,-606.118852558017,"absent"
"AM:403:CT-2015","AM:403:CT",2015,4,1,"unmineable",NA,"AM",403,"CT",54.610992,-110.68858,0,1,NA,412.460443037975,717.325421940928,769.60864978903,2654.0253164557,2455.72679324894,1357.31012658228,0.324150526369549,0.551307366964435,0.0395662522494581,3676.6233460443,-1283.76597151899,"present"
"AM:403:CT-2016","AM:403:CT",2016,1,NA,"unmineable",NA,"AM",403,"CT",54.610992,-110.68858,0,1,NA,318.925896624473,576.689609704641,487.619725738397,2697.86735232068,1820.80537974684,930.255537974684,0.487295727390906,0.693104207547154,0.193597452770054,3097.70769572785,-758.770620727848,NA
"AM:403:CT-2017","AM:403:CT",2017,1,0,"unmineable",NA,"AM",403,"CT",54.610992,-110.68858,0,1,NA,220.211497890295,463.883966244726,309.857594936709,2780.24789029536,1376.2420886076,625.299841772152,0.631227683606027,0.797699352891385,0.334553217067372,2715.44364055907,-377.116487921941,"absent"
"AM:403:CT-2018","AM:403:CT",2018,1,NA,"unmineable",NA,"AM",403,"CT",54.610992,-110.68858,0,1,NA,483.176424050633,659.622890295359,545.552478902954,2643.5279535865,1527.02320675105,784.102056962025,0.543027109831949,0.665068966269745,0.267250322009818,2990.9580596519,-437.318070042194,NA
