location,year,datetime,occupied,region,latitude,longitude
Y-12-359-CT,2021,NA,NOT SURVEYED,UNMINEABLE,56.74164,-111.9614
Y-12-359-NE,2013,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2015,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2016,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2017,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2018,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2019,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2020,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2021,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NE,2014,NA,NOT SURVEYED,UNMINEABLE,56.7443,-111.9567
Y-12-359-NW,2013,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2015,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2016,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2017,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2018,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2019,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2020,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2021,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-NW,2014,NA,NOT SURVEYED,UNMINEABLE,56.74423,-111.9664
Y-12-359-SE,2013,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2015,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2016,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2017,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2018,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2019,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2020,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2021,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SE,2014,NA,NOT SURVEYED,UNMINEABLE,56.7369,-111.9575
Y-12-359-SW,2013,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2015,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2016,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2017,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2018,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2019,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2020,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2021,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-359-SW,2014,NA,NOT SURVEYED,UNMINEABLE,56.73696,-111.9683
Y-12-360-CT,2013,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2015,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2016,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2017,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2018,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2019,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2020,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2021,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-CT,2014,NA,NOT SURVEYED,UNMINEABLE,56.7474,-111.938
Y-12-360-NE,2013,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2015,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2016,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2017,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2018,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2019,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2020,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2021,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NE,2014,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9331
Y-12-360-NW,2013,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2015,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2016,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2017,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2018,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2019,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2020,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2021,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-NW,2014,NA,NOT SURVEYED,UNMINEABLE,56.75014,-111.9421
Y-12-360-SE,2013,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2015,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2016,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2017,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2018,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2019,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2020,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2021,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SE,2014,NA,NOT SURVEYED,UNMINEABLE,56.74478,-111.9328
Y-12-360-SW,2013,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2015,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2016,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2017,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2018,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2019,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2020,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2021,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-12-360-SW,2014,NA,NOT SURVEYED,UNMINEABLE,56.74473,-111.9428
Y-13-248-CT,2014,NA,NOT SURVEYED,UNMINEABLE,54.8661,-111.6094
Y-13-248-CT,2017,NA,NOT SURVEYED,UNMINEABLE,54.8661,-111.6094
Y-13-248-CT,2018,NA,NOT SURVEYED,UNMINEABLE,54.8661,-111.6094
Y-13-248-CT,2019,NA,NOT SURVEYED,UNMINEABLE,54.8661,-111.6094
Y-13-248-CT,2020,NA,NOT SURVEYED,UNMINEABLE,54.8661,-111.6094
Y-13-248-CT,2021,NA,NOT SURVEYED,UNMINEABLE,54.8661,-111.6094
Y-13-248-CT2,2013,NA,NOT SURVEYED,UNMINEABLE,54.86584,-111.6093
Y-13-248-CT2,2014,NA,NOT SURVEYED,UNMINEABLE,54.86584,-111.6093
Y-13-248-CT2,2015,NA,NOT SURVEYED,UNMINEABLE,54.86584,-111.6093
Y-13-248-CT2,2016,NA,NOT SURVEYED,UNMINEABLE,54.86584,-111.6093
Y-13-248-CT2,2019,NA,NOT SURVEYED,UNMINEABLE,54.86584,-111.6093
Y-13-248-CT2,2020,NA,NOT SURVEYED,UNMINEABLE,54.86584,-111.6093
Y-13-248-CT2,2021,NA,NOT SURVEYED,UNMINEABLE,54.86584,-111.6093
Y-13-248-NE,2014,NA,NOT SURVEYED,UNMINEABLE,54.86868,-111.6048
Y-13-248-NE,2019,NA,NOT SURVEYED,UNMINEABLE,54.86868,-111.6048
Y-13-248-NE,2020,NA,NOT SURVEYED,UNMINEABLE,54.86868,-111.6048
Y-13-248-NE,2021,NA,NOT SURVEYED,UNMINEABLE,54.86868,-111.6048
Y-13-248-NW,2014,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
Y-13-248-NW,2015,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
Y-13-248-NW,2016,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
Y-13-248-NW,2017,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
