"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence","julian"
"AM:403:NW-2013","AM:403:NW",2013,1,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,253.966617108598,468.550184271182,407.118546050644,2262.81382440106,1500.31901374004,792.795565910275,0.469326679850163,0.674156950027491,0.189800220606455,2576.80293684062,-621.497955548703,NA,1.80917744302895
"AM:403:NW-2014","AM:403:NW",2014,3,1,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,282.975565878249,493.667352865313,454.866410774334,2067.73464617025,1608.53224996572,878.402943411128,0.391655210763849,0.630693009123795,0.132908328591233,2622.53787259394,-746.753216533822,"present",1.21538718008994
"AM:403:NW-2015","AM:403:NW",2015,3,1,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,488.051573214653,760.65722918936,964.910409765574,2177.2187702961,2347.11875832781,1457.52138746043,0.194823855491856,0.386490619855602,-0.0401696230223232,3499.90362115557,-1281.25592981458,"present",1.98731452191065
"AM:403:NW-2016","AM:403:NW",2016,1,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,474.628315004041,674.863819019798,686.430461613728,2128.39435521527,1864.19311340992,1114.51764723576,0.311745904090301,0.516496958034488,0.0643562885600836,3003.99485932577,-904.171267879697,NA,0.0278066542119262
"AM:403:NW-2017","AM:403:NW",2017,3,0,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,200.896503797231,346.636645245231,286.023475818817,1393.59201200275,798.827338386153,436.193509392193,0.561017914357715,0.676548164786331,0.314784465491527,1559.87312917235,-243.493663359089,"absent",1.74979841673505
"AM:403:NW-2018","AM:403:NW",2018,3,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,221.492679881716,394.003677951451,271.168752746889,1716.94078746777,862.208650711327,452.975065045723,0.53216031100874,0.705357636730879,0.286428251450012,1789.79871859209,-215.094505880119,NA,-1.27853192425389
"AM:403:NW-2019","AM:403:NW",2019,2,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,241.364776177595,396.580947072315,347.446096954423,1176.08754131642,867.334350118244,522.53243227295,0.428588970823285,0.61033968486728,0.178436443486157,1507.74016238699,-350.868203361916,NA,1.92793549561675
"AM:403:SE-2013","AM:403:SE",2013,2,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,302.210262447289,549.297197019307,406.609101888187,3349.26263841435,1899.45995990764,893.091542427549,0.562306733100078,0.76869686159482,0.264363380193429,3431.42996080549,-671.783702748594,NA,1.80917744302895
"AM:403:SE-2014","AM:403:SE",2014,1,1,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,307.497347071094,549.386911421112,402.75787238314,3237.76619505274,1867.06787885644,862.193678997651,0.566163299169472,0.767155140213292,0.266316738871788,3401.02241309656,-642.093212572528,"present",1.21538718008994
"AM:403:SE-2015","AM:403:SE",2015,1,1,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,588.264300994575,897.352044993847,1115.25407114954,2763.7694607671,2973.11493053447,1768.8258092434,0.215065777268184,0.42477488865425,-0.0405512904828112,4344.19086184972,-1638.4388380135,"present",1.98731452191065
"AM:403:SE-2016","AM:403:SE",2016,4,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,384.127356482639,678.665725470626,594.004183864849,3033.38037800165,2254.0690651147,1203.36157918703,0.459630457841901,0.69056766344794,0.170772505618468,3696.48447812952,-1001.76827981261,NA,0.0278066542119262
"AM:403:SE-2017","AM:403:SE",2017,4,0,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,217.867966811309,369.319897967684,291.643087544239,1478.25694899622,862.103487458254,460.004061412429,0.552005040104681,0.683681634904284,0.287859731971575,1660.60681166984,-270.780048592668,"absent",1.74979841673505
"AM:403:SE-2018","AM:403:SE",2018,4,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,95.3325082287804,329.901314367714,223.617646986532,1373.35766981923,715.746650736496,375.763841116666,0.518844776842757,0.666321675860605,0.270724286739545,1429.99112106945,-204.514091507227,NA,-1.27853192425389
"AM:403:SE-2019","AM:403:SE",2019,3,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,209.110017653676,301.555073811077,273.113364182639,626.912336922736,579.867064642465,360.017529047956,0.372185817118765,0.441192053879368,0.152009381749359,992.443879927194,-239.501020537906,NA,1.92793549561675
"AM:403:SW-2013","AM:403:SW",2013,1,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,305.400909402793,490.947884958417,350.746762895212,2832.9142045736,1732.8091255985,795.208199336214,0.558405814823668,0.776401831264842,0.237932620699548,3009.89061498435,-662.519497384132,NA,1.80917744302895
"AM:403:SW-2014","AM:403:SW",2014,1,0,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,288.895693089829,485.913916690433,350.014166294147,2732.90722257031,1672.49059548407,770.60929667915,0.564799508826255,0.775138790649668,0.248224742985482,2888.64574204123,-629.265204185525,"absent",1.21538718008994
"AM:403:SW-2015","AM:403:SW",2015,3,1,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,347.572117153825,615.481289724526,605.818327589818,2461.06629917459,2102.81897034712,1124.54858441905,0.370332523861086,0.604679596189409,0.0752182159899277,3219.43752508158,-1052.67391337943,"present",1.98731452191065
