project,organization,location,recording_date,recording_time,latitude,longitude,YERAobs,long4,lat4,datetime,syear,sdoy,shod,stod,long3,lat3,numyears,region
Bayne-OSM-YERA-2021,BU,W-E0-16-28,2021-06-17,0:40:00,54.67824,-110.7003,0,-110.7003,54.6782,2021-06-17 0:40,2021,168,0,0.6666667,-110.7,54.678,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-20-45,2021-06-03,0:00:00,55.14429,-111.6811,1,-111.6811,55.1443,2021-06-03 0:00,2021,154,0,0,-111.681,55.144,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-16-34,2021-06-17,0:40:00,54.68107,-110.7041,0,-110.7041,54.6811,2021-06-17 0:40,2021,168,0,0.6666667,-110.704,54.681,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-20-54,2021-06-05,2:40:00,55.1588,-111.6742,1,-111.6742,55.1588,2021-06-05 2:40,2021,156,2,2.666667,-111.674,55.159,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-20-58,2021-06-04,1:40:00,55.16018,-111.6633,0,-111.6633,55.1602,2021-06-04 1:40,2021,155,1,1.666667,-111.663,55.16,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-315-NE,2021-07-09,2:20:00,56.24207,-110.8988,0,-110.8988,56.2421,2021-07-09 2:20,2021,190,2,2.333333,-110.899,56.242,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-20-40,2021-06-05,0:20:00,55.13977,-111.6796,1,-111.6796,55.1398,2021-06-05 0:20,2021,156,0,0.3333333,-111.68,55.14,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,F-P5-16-38,2021-06-21,0:40:00,54.68868,-110.5229,0,-110.5229,54.6887,2021-06-21 0:40,2021,172,0,0.6666667,-110.523,54.689,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,S-P5-16-65,2021-06-16,2:40:00,54.6289,-110.7368,1,-110.7368,54.6289,2021-06-16 2:40,2021,167,2,2.666667,-110.737,54.629,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-WI3,2021-07-13,0:40:00,57.0378,-111.9208,0,-111.9208,57.0378,2021-07-13 0:40,2021,194,0,0.6666667,-111.921,57.038,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-16-29,2021-06-13,1:40:00,54.67857,-110.7007,0,-110.7007,54.6786,2021-06-13 1:40,2021,164,1,1.666667,-110.701,54.679,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-RC2,2021-07-14,2:20:00,57.01944,-111.9218,0,-111.9218,57.0194,2021-07-14 2:20,2021,195,2,2.333333,-111.922,57.019,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-315-NE,2021-07-09,2:00:00,56.24207,-110.8988,0,-110.8988,56.2421,2021-07-09 2:00,2021,190,2,2,-110.899,56.242,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-SW,2021-07-09,0:40:00,56.22869,-110.8379,0,-110.8379,56.2287,2021-07-09 0:40,2021,190,0,0.6666667,-110.838,56.229,1,UNMINEABLE
